Class ID,Preferred Label,Parents
http://entity/CST/HYPOCHLOREM,HYPOCHLOREMIA,http://entity/CST/METGEN|http://entity/CST/MAN/ION/CL
http://entity/CST/EXTRAPYR%20SYND,EXTRAPYRAMIDAL SYNDROME,http://entity/CST/NERMOVE
http://entity/CST/VASCULITIS%20KIDNEY,KIDNEY VASCULITIS,http://entity/CST/PATHCOLLAGEN|http://entity/CST/UG/UT/K/M|http://entity/CST/RENALVASC|http://entity/CST/RENALNOS|http://entity/CST/CV/VASC/GEN
http://entity/CST/SKIN/DERM,Dermatoses,
http://entity/CST/FIBRO%20KIDNEY,KIDNEY FIBROSIS,http://entity/CST/UG/UT/K/M|http://entity/CST/PATHFIBROSIS|http://entity/CST/RENALNOS
http://entity/CST/MAN/ION/BR,Bromide Disorders,http://entity/CST/MAN/ION
http://entity/CST/PNEUMONIA,PNEUMONIA,http://entity/CST/PATHINFECT|http://entity/CST/PULMINFECT
http://entity/CST/LEUKOCYTE%20VACUOL,LEUKOCYTE VACUOLIZATION,http://entity/CST/HEMWBCABN|http://entity/CST/HAL/WBC/GEN
http://entity/CST/GRANULOMA,GRANULOMA,http://entity/CST/BODY/GEN|http://entity/CST/PATHGRANULOMA
http://entity/STY/T057,Occupational Activity,http://entity/STY/T052
http://entity/CST/HAL/MAR,Bone Marrow Abnormalities NEC,http://entity/CST/HAL
http://entity/STY/T047,Disease or Syndrome,http://entity/STY/T046
http://entity/CST/OCCLUS%20CAROTID,CAROTID OCCLUSION,http://entity/CST/CV/VASC/ART|http://entity/CST/NERSTROKE|http://entity/CST/PATHTROMBART
http://entity/CST/CORONARY%20ART%20DIS,CORONARY ARTERY DISORDER,http://entity/CST/CV/CARD/COR
http://entity/CST/SKIN/DERM/VB,Vesiculo-bullous,http://entity/CST/SKIN/DERM
http://entity/CST/IMMUNOGLOBUL%20INC,IMMUNOGLOBULINS INCREASED,http://entity/CST/BODY/GEN|http://entity/CST/PATHGEN
http://entity/STY/T167,Substance,http://entity/STY/T072
http://entity/CST/GGTP%20INC,GAMMA GLUTAMYL TRANSPEPTIDASE INCREASED,http://entity/CST/MAN/ENZ|http://entity/CST/GIHEPOBSTRUCT
http://entity/CST/ST%20ELEVATED,ST ELEVATED,http://entity/CST/CV/CARD/COND
http://entity/CST/DIARRHEA%20BLOODY,BLOODY DIARRHEA,http://entity/CST/HEMHMRG|http://entity/CST/DIG/EC|http://entity/CST/GIBOWEL
http://entity/CST/PBI%20INC,PBI INCREASED,http://entity/CST/MAN/ION/I|http://entity/CST/ENDOTHYR
http://entity/CST/NER/ANS,Autonomic Nervous System,http://entity/CST/NER
http://entity/CST/DYSPNEA,DYSPNEA,http://entity/CST/RES/GEN|http://entity/CST/PULMGEN|http://entity/CST/CVHTMUSCLE
http://entity/CST/PETECHIA,PETECHIA,http://entity/CST/HEMHMRG|http://entity/CST/HAL/COAG/GEN
http://entity/CST/SKIN/SBGL,Sebaceous Gland Disorders,
http://entity/CST/OCCLUS%20MESENTER%20VEN,MESENTERIC VENOUS OCCLUSION,http://entity/CST/CV/VASC/VEN|http://entity/CST/PATHTHROMBVEN
http://entity/CST/HYPERLIPEM,HYPERLIPEMIA,http://entity/CST/MAN/LIP|http://entity/CST/METLIPID
http://entity/CST/UG/GEN,Urogenital System,http://entity/CST/UG
http://entity/CST/GASTRITIS,GASTRITIS,http://entity/CST/GIBOWEL
http://entity/CST/MAN/CHO,Carbohydrate Disorders NEC,http://entity/CST/MAN
http://entity/CST/PANCYTOPENIA,PANCYTOPENIA,http://entity/CST/HEMMARDEPRESS|http://entity/CST/HAL/MAR/DEC
http://entity/CST/FIBRIN%20INC,FIBRIN INCREASED,http://entity/CST/HEMCLOTINC|http://entity/CST/HAL/COAG/CF
http://entity/CST/SCLERODERMA,SCLERODERMA,http://entity/CST/BODY/MULT|http://entity/CST/PATHCOLLAGEN
http://entity/CST/EDEMA%20SCROTUM,SCROTAL EDEMA,http://entity/CST/GUGENMALE|http://entity/CST/GIHEPCHRONIC
http://entity/CST/PATHTUMORBEN,NONMALIGNANT TUMORS,http://entity/CST/PATH
http://entity/CST/ANEMIA%20HYPOCHROM,HYPOCHROMIC ANEMIA,http://entity/CST/HEMRBCDEC|http://entity/CST/HAL/RBC/DEC
http://entity/CST/LABOR%20ABNORM,ABNORMAL LABOR,http://entity/CST/MATFETDEL|http://entity/CST/UG/FG/PREG
http://entity/STY/T066,Machine Activity,http://entity/STY/T052
http://entity/CST/SCREAMING%20SYND,SCREAMING SYNDROME,http://entity/CST/NERGEN|http://entity/CST/NER/CNS
http://entity/STY/T184,Sign or Symptom,http://entity/STY/T033
